,threshold_0.5 (1),threshold_0.95 (1),threshold_0.5 (2),threshold_0.95 (2),threshold_0.5 (3),threshold_0.95 (3),threshold_0.5 (4),threshold_0.95 (4),threshold_0.5 (5),threshold_0.95 (5),threshold_0.5 (all),threshold_0.95 (all),name,mAP (all),mAP (seg),mAP (text),mAP (title),mAP (list),mAP (table),mAP (figure)
0,0.5007069078389242,0.477467999832063,0.6377067099567101,0.63570670995671,0.3095522443243031,0.2615643825129119,0.7956666666666666,0.757,0.6419999999999999,0.6151666666666666,0.7746064157993047,0.7027442521770816,base_tag_lp,0.23907998204231262,0.5476696491241455,0.3503575325012207,0.30267706513404846,0.03192562982439995,0.20764268934726715,0.30279701948165894
1,0.4789187467458433,0.4119933756922248,0.6126376956376955,0.6070265845265845,0.45131468531468527,0.40960191197691204,0.8211190476190475,0.7379285714285715,0.6716666666666667,0.6558333333333334,0.6843537639403933,0.5705951896766013,base_tag_nolp,0.23196913301944733,0.40645840764045715,0.2931637465953827,0.2612346410751343,0.03367433324456215,0.20674815773963928,0.3650248348712921
2,0.3704543820043047,0.3527850980718628,0.598848706848707,0.5946423576423576,0.19897471972471972,0.17284498834498835,0.6936666666666668,0.685,0.5220833333333332,0.5029166666666667,0.7341965937286784,0.668689115495598,base_conv_lp,0.15473832190036774,0.5120866298675537,0.23112429678440094,0.2631130814552307,0.01748724654316902,0.023747144266963005,0.23821988701820374
3,0.581178476617533,0.5392867695687052,0.6375140137640137,0.6330695693195694,0.3421228354978355,0.30549512987012983,0.7768333333333334,0.7476666666666667,0.5875,0.5775,0.7606669463815314,0.6850060806138117,base_conv_nolp,0.24173368513584137,0.5215499401092529,0.4016498625278473,0.3127039968967438,0.03163588047027588,0.20932219922542572,0.2533564567565918
4,0.5395756180467951,0.5081890933485832,0.5573024753024752,0.5547627927627927,0.33038131313131314,0.29473448773448774,0.6958333333333334,0.6958333333333334,0.5340833333333334,0.5120833333333333,0.7303115697907002,0.6584036483793239,base_gat_lp,0.1933741420507431,0.49902668595314026,0.3847147524356842,0.25431743264198303,0.029264824464917183,0.026402641087770462,0.2721710801124573
5,0.5769975272091843,0.5375105300852709,0.6979601558572146,0.690043489190548,0.41394011251905993,0.3788206311232627,0.7558333333333335,0.7316666666666667,0.5995,0.5783333333333334,0.7157661078446793,0.6342128443405141,base_gat_nolp,0.24067264795303345,0.4797288179397583,0.4151553213596344,0.33403417468070984,0.03182084485888481,0.14804498851299286,0.2743079364299774
6,0.6574447507322367,0.6358101492536343,0.6991859806859807,0.6980748695748695,0.5475142602495544,0.5182669340463458,0.722,0.6903333333333334,0.56025,0.5357500000000001,0.7663590817799992,0.7070328381803496,plus_gnn_tag_lp,0.2547271251678467,0.5604835152626038,0.5399349927902222,0.33447638154029846,0.05686413124203682,0.03965596482157707,0.30270418524742126
7,0.5771870886089825,0.5498217563590595,0.6991712454212454,0.6953934676434677,0.4060223077576019,0.37029013306954484,0.7525,0.7316666666666667,0.5694166666666667,0.5599166666666666,0.7387660715177975,0.6756937060262351,plus_gnn_tag_nolp,0.25763779878616333,0.5304785370826721,0.4240899682044983,0.33197036385536194,0.035463299602270126,0.1598721146583557,0.3367932438850403
8,0.5539883078052751,0.5362350108649072,0.6839652014652015,0.6814652014652015,0.31290473415473413,0.2778006854256854,0.7785,0.7318333333333333,0.6347738095238096,0.616345238095238,0.7671267673829828,0.7049267660536984,plus_gnn_conv_lp,0.2727847695350647,0.5563376545906067,0.41107362508773804,0.32476407289505005,0.02571445144712925,0.20419062674045563,0.3981810510158539
9,0.2832286929330273,0.2553699832302774,0.6573115267085856,0.6514504155974744,0.16593995865936909,0.1351253215719833,0.778,0.7580000000000001,0.5729166666666665,0.5494166666666667,0.7564433343044646,0.6776208054824029,plus_gnn_conv_nolp,0.19517797231674194,0.5324221849441528,0.16641061007976532,0.27909475564956665,0.010627592913806438,0.22033363580703735,0.2994232475757599
10,0.5900242627070262,0.5422489707732977,0.6007218753468753,0.6007218753468753,0.44228978696741855,0.410031850459482,0.754,0.7311666666666666,0.6116666666666667,0.5825,0.7408910411682093,0.6597848165472431,plus_gnn_gat_lp,0.22879071533679962,0.5012328028678894,0.4170151352882385,0.2602272927761078,0.029275575652718544,0.15796086192131042,0.279474675655365
11,0.5518790081601495,0.508387987957442,0.4300225963836645,0.42109402495509307,0.6129920634920635,0.5982103174603175,0.7036666666666668,0.6953333333333334,0.48608333333333337,0.47125,0.7416981144424923,0.6677002090330025,plus_gnn_gat_nolp,0.16446058452129364,0.5000128746032715,0.3850942850112915,0.14314693212509155,0.0231962651014328,0.03448844701051712,0.23637700080871582
